IDH: 00, IDL: 80, Len: 08, Data: 4C 2D 4D 03 01 C3 BC FF 
IDH: 00, IDL: 73, Len: 08, Data: 1C 27 17 57 17 59 1C 3F 
IDH: 00, IDL: 91, Len: 08, Data: 59 2F 7F 76 7F 09 A8 38 
IDH: 02, IDL: 11, Len: 08, Data: FF FE 00 64 00 4A 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 04, IDL: 17, Len: 08, Data: 00 00 00 00 00 00 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 3E 10 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 00, IDL: 81, Len: 08, Data: 4C 24 01 00 00 00 00 00 
IDH: 00, IDL: 80, Len: 08, Data: 4C 2D 4D 03 01 C3 BD FF 
IDH: 00, IDL: 47, Len: 08, Data: 00 60 00 00 00 00 00 00 
IDH: 02, IDL: 00, Len: 08, Data: 27 0B 27 58 27 58 01 00 
IDH: 02, IDL: 01, Len: 08, Data: 10 2D 00 00 27 10 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 02, IDL: 16, Len: 08, Data: FE F9 F1 EC AA 00 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 3E 10 
IDH: 00, IDL: 41, Len: 08, Data: 00 61 00 00 00 00 00 00 
IDH: 04, IDL: 30, Len: 08, Data: 5E 60 00 02 00 10 00 40 
IDH: 00, IDL: 82, Len: 08, Data: 7F 08 40 00 00 00 00 00 
IDH: 02, IDL: 30, Len: 08, Data: DD 00 00 00 00 00 3E 10 
IDH: 00, IDL: 80, Len: 08, Data: 4C 2D 4D 03 01 C3 BE FF 
IDH: 00, IDL: 73, Len: 08, Data: 1C 2B 17 53 17 59 1C 37 
IDH: 00, IDL: 91, Len: 08, Data: 59 2F 7F 55 7E F4 A8 38 
IDH: 02, IDL: 11, Len: 08, Data: FF FE 00 64 00 4A 00 00 
IDH: 02, IDL: 15, Len: 08, Data: 27 10 27 10 27 10 27 10 
IDH: 02, IDL: 17, Len: 08, Data: 01 EC 01 F1 3C 50 00 00 
IDH: 03, IDL: 40, Len: 08, Data: 0A 00 00 00 00 00 00 00 
IDH: 04, IDL: 15, Len: 08, Data: 00 00 00 00 00 00 00 5F 
IDH: 04, IDL: 17, Len: 08, Data: 00 00 00 00 00 00 00 00 
