IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 6D 00 29 02 ,TS: 78,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 139,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 86 22 3E 62 5A 23 44 ,TS: 157,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 238,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 C1 ,TS: 320,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 83 82 A7 1C 00 ,TS: 404,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C D7 13 0D 10 74 00 ,TS: 477,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 558,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 33 00 69 C9 5B ,TS: 637,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 718,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 4F 18 80 34 C0 00 ,TS: 797,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 10 16 0A 31 80 00 00 ,TS: 881,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 58 80 00 FF 00 1D ,TS: 957,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 1038,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 76 66 ,TS: 1105,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 1168,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5A 49 7F B4 17 00 00 ,TS: 1182,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 1261,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 1341,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 1422,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 4F C0 91 78 ,TS: 1501,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7C 00 00 00 00 00 ,TS: 1582,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 69 00 28 02 ,TS: 1613,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 1676,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 88 20 3E 62 5A 24 0C ,TS: 1694,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 1776,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 1853,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 82 82 A8 1C 00 ,TS: 1934,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 2013,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 2095,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 37 00 69 C9 5B ,TS: 2173,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 2253,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 3D 19 00 34 C0 00 ,TS: 2333,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 10 16 09 CA 80 00 00 ,TS: 2414,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5A 80 00 FF 00 1D ,TS: 2493,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 2582,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 76 7C ,TS: 2637,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 2694,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5A C1 7F B7 17 00 00 ,TS: 2701,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 2781,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 2862,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 2962,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 57 C0 91 78 ,TS: 3044,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7A 00 00 00 00 00 ,TS: 3118,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 67 00 27 02 ,TS: 3149,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 3211,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 83 20 3E 62 5A 24 C7 ,TS: 3236,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 3331,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 3405,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 81 82 A9 1C 00 ,TS: 3485,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C E5 13 0D 10 74 00 ,TS: 3566,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 3645,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 3A 00 69 C9 5B ,TS: 3725,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 3805,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 3F 19 00 34 C0 00 ,TS: 3898,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 09 84 80 00 00 ,TS: 3987,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5C 80 00 FF 00 1D ,TS: 4061,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 4142,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 77 44 ,TS: 4177,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 4238,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5C 79 7F BF 17 00 00 ,TS: 4253,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0B 2D 66 ,TS: 4333,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 4427,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 4509,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 5F C0 91 77 ,TS: 4589,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 74 00 00 00 00 00 ,TS: 4669,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 64 00 27 02 ,TS: 4749,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 4810,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 88 1F 3E 62 5A 25 4A ,TS: 4833,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 4910,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 4989,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 80 81 A9 1C 00 ,TS: 5069,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 5159,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 5233,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 3D 00 69 C9 5B ,TS: 5309,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 5397,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 3C 19 00 34 C0 00 ,TS: 5470,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0C 7C 09 42 80 00 00 ,TS: 5549,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 5E 80 00 FF 00 1D ,TS: 5629,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 5709,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 78 44 ,TS: 5783,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 5844,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 5E A9 7F CA 17 00 00 ,TS: 5862,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 0A 2D 66 ,TS: 5933,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 6013,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 6093,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 67 C0 91 78 ,TS: 6173,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7C 00 00 00 00 00 ,TS: 6257,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 62 00 26 02 ,TS: 6285,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 6347,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 85 1E 3E 62 5A 25 D1 ,TS: 6365,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 6445,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 6528,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7F 81 AA 1C 00 ,TS: 6605,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C ED 13 0D 10 74 00 ,TS: 6685,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 6765,BAUD: 1
